Student,LPIPS,SSIM
113590026.png,0.0,1.0
111590047.png,0.1477358639240265,0.8018614207164003
113370239.png,0.20060454308986664,0.7152433872434704
113590033.png,0.20182354748249054,0.7524657563594355
113590031.png,0.21757856011390686,0.7139852436379901
113590060.png,0.2218361496925354,0.746750598259417
113590051.png,0.25618845224380493,0.6852582798657733
113590040.png,0.2578437030315399,0.7019629748130836
113590450.png,0.2628649175167084,0.7121002652039972
113590039.png,0.2628735303878784,0.6980882430344696
113590044.png,0.27153638005256653,0.7099367157219104
113590003.png,0.2765626907348633,0.6713977545368017
113590056.png,0.2807195782661438,0.7150288448656713
113590005.png,0.2842986583709717,0.734316466528875
113590047.png,0.28451603651046753,0.7464220320254794
113590015.png,0.2880712151527405,0.6652450408659384
113590061.png,0.29093992710113525,0.6761204237626581
113590021.png,0.29338324069976807,0.6651952898479371
113590001.png,0.30356767773628235,0.6785844090142275
112590452.png,0.30521950125694275,0.6877479090400286
113590052.png,0.30695855617523193,0.6515909635293388
111590062.png,0.30997171998023987,0.6938687974183101
113590004.png,0.31280583143234253,0.7452102959105359
112590454.png,0.315640926361084,0.6679714734899653
113590032.png,0.3157164752483368,0.7153103961629196
111590028.png,0.3242645859718323,0.686676606926362
113590022.png,0.33064404129981995,0.643968228756774
113590057.png,0.3331975042819977,0.667490096503181
114054809.png,0.3354566693305969,0.6884195899336083
113590045.png,0.3405570387840271,0.6259117086314832
110590455.png,0.34658852219581604,0.6670865965760878
113590043.png,0.3490017354488373,0.7517244605046098
113590062.png,0.3508649170398712,0.6521290951013095
113590036.png,0.3515583574771881,0.6390469095029818
112590040.png,0.35397031903266907,0.6188585374117529
113AC1012.png,0.35581400990486145,0.6747013440251004
113590025.png,0.3588545620441437,0.7536185432315964
113AB0018.png,0.3632028102874756,0.6154739850471186
112590455.png,0.3643529713153839,0.6626528825199931
113590010.png,0.36442577838897705,0.6177477423386415
113590002.png,0.36543524265289307,0.6228170280012779
113590059.png,0.3759348392486572,0.612277574348572
113590006.png,0.37846633791923523,0.5721311454785727
111590042.png,0.386636883020401,0.7568564399226517
113590011.png,0.3882901966571808,0.6362035112225028
113590018.png,0.3980087637901306,0.6259832300555059
113590050.png,0.412606805562973,0.5606544189927658
113590028.png,0.41737785935401917,0.5882704089829278
113590023.png,0.4271015226840973,0.5470010037876758
113590042.png,0.43615126609802246,0.5871467060963887
113590049.png,0.44668513536453247,0.5190025116081916
111590455.png,0.49996042251586914,0.5524181661373303
113590008.png,0.5254849791526794,0.4785602516167089
112590058.jpg,0.5334800481796265,0.4393793670823118
113590013.png,0.5403348803520203,0.3972863042315117
